id,idp,filename,NOP_method,CC_method,ATFD_method,FDP_method,CM_method,MAXNESTING_method,LOC_method,CYCLO_method,NMCS_method,NOLV_method,MaMCL_method,NOAV_method,LAA_method,FANOUT_method,CFNAMM_method,ATLD_method,CLNAMM_method,CINT_method,MeMCL_method,CDISP_method,NOII_type,NOAM_type,NOCS_type,NOM_type,NMO_type,ATFD_type,FANOUT_type,NOMNAMM_type,NOA_type,NIM_type,DIT_type,LOC_type,LOCNAMM_type,CFNAMM_type,TCC_type,NOPA_type,CBO_type,RFC_type,NOC_type,WMC_type,LCOM5_type,WOC_type,WMCNAMM_type,AMW_type,AMWNAMM_type,NOCS_package,NOMNAMM_package,NOI_package,LOC_package,NOM_package,NOPK_project,NOCS_project,NOI_project,NOM_project,NOMNAMM_project,LOC_project,label
1,110,freemind-0.9.0/NodeGeneralAction_xmlActionPerformed.java,1,0,4,3,0,4,40,6,0,6,0,13,0.428571429,6,12,3,0,11,0,0.545454545,0,2,0,11,0,4,8,9,4,21,4,134,117,248,0.285714286,0,14,38,18,21,0.9,0.833333333,18,1.909090909,2,74,380,4,5031,435,43,849,78,5788,4778,65687,FALSE
2,107,freemind-0.9.0/PasteAction__paste.java,4,0,2,2,0,5,44,8,0,10,0,18,0.8,6,12,4,0,8,0,0.75,1,1,7,18,0,14,21,17,8,15,2,660,647,1100,0.714285714,0,15,67,0,67,0.889705882,1,66,3.722222222,3.882352941,74,380,4,5031,435,43,849,78,5788,4778,65687,FALSE
3,64,freemind-0.9.0/FreeMind_getLogger.java,1,0,2,1,0,4,43,5,0,10,0,13,0.333333333,2,4,1,0,2,0,1,1,9,8,48,0,17,25,39,54,534,6,1116,1063,1992,0.054054054,34,23,104,0,115,0.994877857,0.402777778,105,2.395833333,2.692307692,50,388,3,8258,437,43,849,78,5788,4778,65687,FALSE
4,23,freemind-0.9.0/MindMapHookFactory_actualizePlugins.java,0,0,4,3,0,6,56,8,0,11,0,22,0.777777778,6,18,7,0,9,0,0.666666667,0,1,1,17,0,11,10,16,7,3,2,323,274,650,0.022222222,0,18,53,0,43,0.946428571,0.909090909,37,2.529411765,2.3125,5,23,0,391,26,43,849,78,5788,4778,65687,FALSE
5,66,freemind-0.9.0/FreeMind_loadMaps.java,2,0,6,3,0,4,57,12,0,8,0,14,0.166666667,5,14,1,0,8,0,0.625,1,9,8,48,0,17,25,39,54,534,6,1116,1063,1992,0.054054054,34,23,104,0,115,0.994877857,0.402777778,105,2.395833333,2.692307692,50,388,3,8258,437,43,849,78,5788,4778,65687,FALSE
6,12,freemind-0.9.0/Tools_toRelativeURL.java,2,2,0,0,2,6,73,12,0,10,0,10,0,0,0,0,0,0,0,0,0,0,13,71,0,4,14,71,5,0,1,1327,1327,1192,0.000426257,2,8,96,0,186,1,0.971830986,186,2.61971831,2.61971831,50,388,3,8258,437,43,849,78,5788,4778,65687,FALSE
7,89,freemind-0.9.0/NodeUpAction__moveNodes.java,3,0,0,0,0,4,53,9,0,15,0,17,1,5,20,2,0,10,0,0.5,1,0,2,9,0,2,10,9,2,15,2,158,158,346,0.666666667,0,10,36,0,24,0.6875,1,24,2.666666667,2.666666667,74,380,4,5031,435,43,849,78,5788,4778,65687,FALSE
8,19,freemind-0.9.0/PasteAction_paste.java,5,0,2,2,0,6,73,11,0,20,0,24,0,7,18,0,0,13,0,0.538461538,1,0,0,2,0,3,7,2,0,0,1,81,81,54,0,0,9,15,0,12,0,1,12,6,6,74,380,4,5031,435,43,849,78,5788,4778,65687,FALSE
9,16,freemind-0.9.0/ImportExplorerFavoritesAction_importExplorerFavorites.java,3,0,1,1,0,7,53,12,0,12,0,15,1,4,12,1,0,7,0,0.571428571,0,0,0,4,0,2,6,4,1,15,2,91,91,94,1,0,6,19,0,16,0.333333333,1,16,4,4,74,380,4,5031,435,43,849,78,5788,4778,65687,TRUE
10,20,freemind-0.9.0/ImportWizard_addClassesFromDir.java,4,0,0,0,0,6,53,8,0,12,0,14,1,0,0,2,0,0,0,0,0,0,0,5,0,1,2,5,4,0,1,170,170,58,0.666666667,2,2,10,0,24,0.8125,0.666666667,24,4.8,4.8,18,108,8,1339,136,43,849,78,5788,4778,65687,TRUE
11,36,freemind-0.9.0/MindMapNodeMotionListener_mouseDragged.java,1,0,3,2,0,4,41,4,1,8,2,22,0.5,6,10,3,0,12,2,0.5,0,2,1,16,0,7,10,14,6,8,3,197,179,640,0.305555556,0,10,41,0,31,0.855555556,1,28,1.9375,2,4,27,0,516,29,43,849,78,5788,4778,65687,TRUE
